age,eduyrs,home,skills,daily,inc4
76,12,No,0,0,Mid-high
50,16,No,8,1,Mid-high
51,11,Yes,5,1,Mid-high
70,17,Yes,0,1,Mid-low
48,12,Yes,4,1,Mid-low
71,11,Yes,5,0,Lowest
71,3,No,0,0,Lowest
71,12,Yes,8,1,Mid-low
83,19,No,0,0,Lowest
47,12,Yes,9,1,Highest
34,112,Yes,2,1,Highest
71,7,Yes,2,1,Lowest
53,12,Yes,4,1,Mid-high
32,12,Yes,7,1,Mid-low
60,8,Yes,2,1,Lowest
59,15,Yes,4,0,Lowest
71,16,Yes,5,0,Mid-low
39,20,Yes,9,1,Mid-high
78,12,Yes,0,0,Lowest
49,11,Yes,1,1,Highest
55,11,Yes,5,0,Lowest
85,17,Yes,0,0,Lowest
64,8,No,0,0,Lowest
24,12,Yes,8,1,Mid-high
69,17,Yes,3,1,Mid-low
65,17,Yes,6,1,Mid-low
44,16,No,6,0,Mid-high
67,11,No,12,0,Lowest
19,13,Yes,6,1,Mid-high
30,16,Yes,11,1,Mid-high
66,18,Yes,12,1,Mid-low
31,16,Yes,12,1,Highest
79,7,No,0,0,Lowest
72,11,Yes,0,0,Mid-low
84,12,Yes,3,0,Lowest
44,18,Yes,9,1,Highest
75,11,Yes,5,1,Lowest
71,7,No,0,0,Mid-low
20,6,No,2,1,Lowest
47,17,Yes,12,1,Mid-high
61,8,Yes,3,1,Lowest
51,19,Yes,1,0,Highest
78,14,Yes,6,1,Lowest
55,16,Yes,12,1,Mid-high
58,11,Yes,0,1,Mid-low
52,11,Yes,9,1,Mid-high
29,12,Yes,8,1,Mid-high
77,7,No,0,0,Lowest
44,8,Yes,2,1,Mid-high
21,12,Yes,12,1,Mid-high
55,19,Yes,999,1,Mid-high
55,11,No,1,0,Mid-low
57,10,Yes,0,0,Lowest
59,11,Yes,0,1,Highest
44,12,Yes,5,1,Mid-high
40,16,Yes,12,1,Mid-high
41,11,Yes,9,1,Mid-low
23,12,Yes,8,1,Mid-low
43,11,No,9,1,Mid-high
73,12,No,0,0,Lowest
38,19,Yes,7,1,Lowest
41,12,Yes,2,0,Mid-high
66,16,Yes,4,1,Lowest
32,17,Yes,11,1,Mid-low
67,4,No,0,0,Lowest
59,12,Yes,6,1,Mid-high
39,12,Yes,8,1,Mid-high
49,12,Yes,6,1,Mid-high
70,16,No,0,0,Lowest
33,13,Yes,12,1,Mid-high
87,14,No,0,0,Lowest
56,11,Yes,3,1,Lowest
36,4,No,0,1,Mid-high
52,11,Yes,7,1,Mid-high
33,12,Yes,9,1,Mid-high
20,13,Yes,12,1,Highest
80,16,No,8,0,Mid-low
25,12,Yes,12,1,Mid-high
37,15,Yes,8,1,Mid-low
29,12,Yes,9,1,Mid-high
79,11,No,0,0,Lowest
47,8,Yes,2,1,Mid-low
28,12,Yes,12,1,Lowest
72,12,No,0,0,Lowest
63,11,Yes,0,0,Mid-low
36,17,Yes,12,1,Mid-high
40,11,Yes,12,1,Mid-high
66,10,No,0,0,Mid-low
57,12,Yes,0,1,Highest
26,11,Yes,3,1,Mid-low
71,15,Yes,3,0,Mid-low
37,15,Yes,12,1,Mid-high
60,8,Yes,4,1,Mid-high
36,16,Yes,12,1,Highest
69,12,Yes,6,1,Mid-low
72,11,No,0,0,Lowest
46,14,Yes,12,1,Mid-high
54,8,Yes,0,0,Highest
75,8,No,0,0,Lowest
60,11,No,0,0,Mid-high
37,11,Yes,0,1,Mid-high
71,13,No,0,0,Lowest
56,14,Yes,7,1,Mid-low
68,11,Yes,1,1,Lowest
76,12,No,0,0,Lowest
69,16,Yes,0,1,Mid-low
71,19,Yes,12,1,Mid-low
72,8,No,0,0,Mid-high
69,16,Yes,9,0,Mid-high
42,20,Yes,12,1,Mid-low
72,11,No,0,0,Lowest
54,11,Yes,0,1,Mid-high
57,11,Yes,2,1,Mid-low
30,11,Yes,4,1,Mid-high
67,8,Yes,6,1,Lowest
60,12,Yes,7,1,Highest
60,11,Yes,0,0,Highest
66,19,Yes,6,1,Mid-high
64,15,Yes,3,1,Lowest
67,12,No,0,0,Mid-low
73,11,No,0,0,Lowest
65,11,No,0,0,Lowest
41,22,Yes,12,1,Mid-low
67,12,Yes,5,1,Mid-low
26,11,Yes,6,1,Lowest
83,15,No,0,0,Lowest
37,13,Yes,3,0,Mid-low
38,13,Yes,7,0,Mid-high
69,17,Yes,6,0,Mid-low
40,11,Yes,6,1,Mid-high
51,17,Yes,12,1,Highest
68,12,Yes,5,1,Mid-low
77,10,Yes,2,0,Lowest
32,12,Yes,6,1,Mid-high
89,12,No,0,0,Mid-low
59,15,Yes,10,1,Highest
46,18,No,5,1,Highest
69,17,No,0,0,Mid-low
59,12,Yes,8,1,Highest
33,12,Yes,7,1,Mid-high
70,11,No,0,0,Mid-low
23,13,Yes,12,1,Highest
55,14,Yes,4,0,Mid-low
71,12,No,0,0,Lowest
60,14,Yes,3,0,Mid-high
35,17,Yes,5,1,Mid-high
43,12,Yes,11,1,Mid-low
51,7,Yes,0,0,Lowest
64,13,Yes,4,0,Lowest
85,15,No,0,0,Mid-low
56,12,Yes,5,0,Mid-high
34,17,Yes,12,1,Mid-low
21,15,Yes,12,1,Mid-high
82,7,No,0,0,Lowest
40,12,Yes,4,1,Mid-high
42,15,Yes,11,1,Mid-high
50,15,Yes,12,1,Mid-high
58,18,Yes,12,0,Highest
40,15,Yes,12,1,Mid-high
66,8,No,0,0,Lowest
63,15,Yes,7,1,Lowest
63,11,Yes,0,1,Mid-low
64,11,Yes,8,1,Lowest
20,13,Yes,10,1,Mid-high
45,8,Yes,0,0,Lowest
79,7,Yes,0,0,Lowest
67,12,Yes,6,1,Lowest
47,8,Yes,0,0,Lowest
59,12,Yes,5,0,Mid-high
48,18,No,7,0,Mid-low
40,12,Yes,6,0,Mid-low
24,13,Yes,9,1,Mid-high
66,11,No,0,0,Mid-high
51,14,Yes,9,0,Mid-low
26,19,Yes,6,0,Mid-high
62,11,Yes,2,0,Mid-low
76,15,No,0,0,Lowest
34,18,Yes,12,1,Highest
68,12,No,0,0,Lowest
74,11,No,0,0,Mid-high
45,12,Yes,9,1,Mid-high
47,15,Yes,12,1,Mid-high
83,13,No,0,0,Lowest
42,15,Yes,9,1,Highest
44,17,Yes,10,1,Mid-high
40,15,Yes,6,1,Mid-high
79,13,No,0,0,Lowest
69,14,Yes,2,1,Mid-high
64,11,No,0,0,Lowest
86,12,No,0,0,Lowest
31,18,Yes,12,1,Mid-low
43,17,Yes,7,1,Mid-high
28,11,Yes,6,1,Mid-high
51,11,Yes,0,1,Lowest
62,14,Yes,5,0,Lowest
48,12,Yes,5,1,Mid-high
55,12,Yes,12,1,Mid-high
75,9,No,0,0,Lowest
69,12,No,0,0,Lowest
49,16,Yes,12,1,Mid-high
60,11,Yes,6,1,Mid-high
72,26,Yes,8,1,Lowest
61,11,No,0,0,Mid-low
36,16,Yes,7,1,Mid-high
74,10,Yes,0,1,Mid-low
52,10,No,6,1,Mid-low
60,11,Yes,4,0,Lowest
83,6,No,0,0,Lowest
69,12,Yes,1,0,Mid-low
57,11,No,0,0,Lowest
40,11,No,4,1,Lowest
73,11,No,0,0,Lowest
40,18,Yes,9,1,Mid-high
20,13,Yes,12,1,Mid-high
61,4,Yes,0,0,Mid-low
60,11,No,2,0,Mid-low
58,11,Yes,0,0,Highest
67,12,Yes,5,0,Lowest
48,11,Yes,10,1,Highest
66,12,No,0,0,Lowest
47,17,Yes,12,1,Lowest
42,12,Yes,5,1,Mid-high
41,14,Yes,3,1,Mid-low
53,11,Yes,4,1,Lowest
74,7,No,0,0,Lowest
68,12,Yes,6,0,Lowest
71,11,No,0,0,Mid-high
69,0,No,0,0,Lowest
82,8,No,0,0,Lowest
78,8,No,0,0,Lowest
18,11,Yes,12,1,Mid-high
24,8,Yes,0,1,Mid-low
81,11,No,0,0,Lowest
21,13,Yes,12,1,Mid-high
33,24,Yes,9,1,Mid-low
46,11,Yes,8,1,Highest
32,18,Yes,9,1,Mid-high
51,12,Yes,9,1,Mid-high
53,14,Yes,4,1,Mid-high
61,14,No,0,0,Mid-low
57,11,Yes,0,1,Mid-high
66,12,Yes,4,0,Mid-high
71,12,Yes,5,0,Mid-low
32,11,Yes,2,1,Mid-high
53,11,Yes,3,0,Mid-high
58,4,No,0,0,Lowest
25,12,Yes,9,1,Mid-low
64,11,Yes,3,1,Mid-low
71,10,No,0,0,Lowest
89,5,No,0,0,Mid-high
79,7,No,0,0,Lowest
65,8,Yes,2,0,Mid-low
76,11,Yes,0,0,Lowest
62,12,Yes,3,1,Mid-low
65,11,Yes,2,1,Mid-high
81,14,No,0,0,Mid-low
36,10,Yes,12,1,Mid-high
46,17,Yes,7,1,Mid-high
69,15,Yes,1,1,Lowest
75,8,No,0,0,Lowest
56,15,No,6,0,Mid-high
42,12,Yes,4,1,Mid-high
59,11,Yes,8,1,Lowest
32,16,Yes,6,1,Mid-low
35,16,Yes,12,1,Highest
37,20,Yes,11,1,Mid-high
74,11,No,0,0,Mid-low
60,12,No,0,0,Lowest
40,12,Yes,6,1,Mid-high
59,11,Yes,0,1,Lowest
49,16,Yes,12,1,Highest
31,12,Yes,4,1,Lowest
66,15,No,0,0,Mid-low
35,12,Yes,3,0,Mid-high
75,7,No,0,0,Lowest
53,12,Yes,10,1,Mid-high
69,16,Yes,6,0,Mid-low
75,29,No,12,1,Mid-high
39,16,Yes,12,1,Highest
81,7,No,0,0,Lowest
67,12,Yes,6,1,Mid-low
39,11,Yes,0,1,Mid-high
29,17,Yes,12,1,Lowest
71,12,Yes,0,0,Lowest
54,11,Yes,9,1,Mid-high
87,7,No,0,0,Lowest
50,11,No,0,0,Mid-low
47,11,Yes,3,1,Mid-high
67,11,Yes,4,1,Mid-low
73,13,No,0,0,Mid-low
40,11,Yes,10,1,Highest
74,11,No,0,0,Lowest
76,7,No,999,0,Lowest
76,10,No,0,0,Lowest
42,9,Yes,2,1,Lowest
87,8,No,0,0,Lowest
51,7,Yes,3,1,Highest
40,12,Yes,4,1,Mid-high
52,11,Yes,10,1,Mid-high
75,18,No,0,0,Lowest
57,11,Yes,1,0,Mid-low
51,12,No,0,0,Mid-high
19,12,Yes,6,1,Mid-high
70,10,No,0,0,Lowest
47,16,Yes,7,1,Mid-high
72,9,No,0,0,Lowest
69,11,No,0,0,Lowest
46,12,Yes,9,0,Mid-high
63,12,Yes,3,1,Lowest
75,11,No,0,0,Lowest
68,11,No,0,0,Lowest
72,8,No,0,0,Mid-high
79,15,Yes,6,0,Lowest
56,11,Yes,7,0,Mid-high
37,12,Yes,12,1,Mid-high
76,7,Yes,0,0,Mid-low
57,11,Yes,2,0,Mid-high
66,15,Yes,0,0,Lowest
78,4,No,0,0,Lowest
67,16,Yes,5,1,Lowest
18,12,No,2,0,Lowest
81,11,No,0,0,Lowest
39,11,Yes,6,1,Mid-high
50,17,Yes,12,1,Mid-low
31,16,Yes,12,1,Mid-high
45,16,Yes,9,1,Mid-high
67,16,Yes,9,1,Mid-high
52,11,Yes,6,1,Mid-high
48,17,Yes,12,1,Highest
27,12,Yes,8,1,Highest
85,7,No,0,0,Lowest
51,11,Yes,5,1,Lowest
73,11,No,0,0,Lowest
76,12,No,0,0,Mid-low
39,12,Yes,4,1,Mid-high
40,12,Yes,8,1,Lowest
64,11,No,0,0,Lowest
87,7,No,0,0,Lowest
47,15,Yes,8,1,Mid-high
58,12,Yes,4,0,Mid-high
67,12,No,0,0,Lowest
61,12,Yes,5,1,Mid-low
78,11,Yes,6,0,Mid-high
68,11,No,0,0,Lowest
62,6,Yes,6,0,Highest
88,20,No,0,0,Lowest
61,13,Yes,4,0,Mid-low
35,14,Yes,12,1,Mid-high
49,16,Yes,6,0,Mid-high
52,17,Yes,9,1,Mid-low
18,11,Yes,8,1,Mid-low
31,12,Yes,6,1,Mid-high
57,8,Yes,0,0,Mid-high
52,16,Yes,3,1,Highest
77,11,Yes,0,0,Mid-low
72,0,No,0,0,Lowest
37,12,Yes,9,1,Mid-high
69,12,Yes,6,1,Lowest
25,17,Yes,12,1,Mid-high
56,18,Yes,9,1,Mid-low
55,16,Yes,4,0,Mid-high
51,16,Yes,9,1,Lowest
80,13,No,0,0,Lowest
76,7,No,0,0,Lowest
59,11,No,0,0,Lowest
50,11,Yes,11,1,Lowest
61,8,No,0,0,Lowest
63,4,No,12,0,Lowest
69,4,No,0,0,Lowest
56,12,Yes,2,1,Mid-low
68,11,Yes,0,0,Lowest
45,16,Yes,3,0,Mid-low
46,12,Yes,6,0,Mid-high
48,11,Yes,6,1,Lowest
21,12,Yes,8,1,Highest
49,12,Yes,7,0,Mid-high
79,12,No,0,0,Lowest
55,16,Yes,7,1,Highest
42,13,Yes,12,1,Mid-high
66,12,Yes,6,1,Mid-low
48,12,Yes,3,1,Mid-high
39,17,Yes,11,1,Highest
67,12,No,0,0,Lowest
52,8,Yes,2,0,Mid-high
25,15,Yes,12,1,Lowest
73,11,No,0,0,Lowest
21,13,Yes,12,1,Mid-low
79,7,No,0,0,Lowest
50,11,Yes,9,1,Lowest
52,11,Yes,999,1,Mid-low
79,11,No,0,0,Lowest
67,12,Yes,5,1,Mid-high
77,12,Yes,4,1,Lowest
56,4,No,8,0,Mid-low
46,17,Yes,4,0,Mid-high
49,5,No,3,0,Lowest
77,7,No,0,0,Lowest
41,5,Yes,6,1,Mid-high
73,19,Yes,9,1,Lowest
38,16,Yes,12,1,Mid-high
59,17,Yes,8,1,Lowest
69,10,No,3,0,Lowest
89,12,No,0,0,Lowest
68,11,No,0,0,Lowest
60,11,No,0,0,Mid-low
25,17,Yes,12,1,Mid-high
76,10,No,0,0,Lowest
44,16,Yes,9,0,Mid-high
64,14,Yes,2,0,Lowest
76,11,No,0,0,Lowest
50,19,Yes,8,1,Highest
32,20,Yes,12,1,Mid-high
51,8,Yes,2,1,Highest
61,12,Yes,3,1,Mid-high
59,11,No,0,0,Mid-low
66,13,Yes,4,0,Lowest
50,18,Yes,10,1,Mid-low
62,11,Yes,7,0,Lowest
65,11,Yes,0,0,Lowest
27,20,Yes,12,1,Highest
86,7,No,0,0,Lowest
76,14,No,0,0,Mid-high
60,11,Yes,4,1,Mid-high
52,11,Yes,8,1,Mid-high
74,17,No,0,0,Lowest
62,11,Yes,0,0,Mid-high
32,18,Yes,11,1,Lowest
40,17,Yes,6,1,Highest
64,11,No,0,0,Lowest
31,12,Yes,9,1,Highest
39,15,Yes,8,1,Mid-high
22,15,Yes,2,0,Highest
46,12,Yes,12,1,Mid-high
28,16,Yes,12,1,Mid-high
45,12,Yes,6,1,Mid-high
26,14,No,9,1,Mid-low
26,16,Yes,12,1,Mid-high
55,15,Yes,6,1,Mid-high
74,18,No,0,0,Mid-low
59,12,No,0,0,Mid-high
49,12,Yes,3,1,Mid-low
43,15,Yes,12,1,Mid-low
63,8,Yes,0,0,Lowest
34,17,Yes,9,1,Mid-high
80,8,No,0,0,Lowest
70,8,Yes,0,0,Mid-high
79,7,No,0,0,Lowest
86,10,No,0,0,Lowest
67,7,No,0,0,Lowest
43,11,Yes,8,1,Mid-low
78,11,No,0,0,Lowest
54,18,No,3,0,Lowest
70,12,Yes,0,0,Lowest
79,16,No,0,0,Mid-low
67,14,Yes,0,0,Lowest
71,20,Yes,6,1,Mid-low
46,12,Yes,4,1,Mid-high
70,17,Yes,5,0,Lowest
51,11,Yes,0,0,Lowest
37,12,Yes,3,1,Highest
83,11,No,0,0,Lowest
71,16,Yes,7,1,Lowest
44,16,No,7,0,Mid-high
60,3,No,0,0,Lowest
77,4,No,0,0,Lowest
73,15,No,0,0,Mid-low
58,12,Yes,5,1,Mid-low
58,11,Yes,8,1,Highest
76,12,No,0,0,Mid-low
62,11,Yes,1,0,Lowest
81,10,No,0,0,Mid-high
46,20,Yes,12,1,Highest
33,12,Yes,3,1,Highest
46,16,Yes,12,1,Highest
43,4,No,6,1,Mid-high
22,16,Yes,6,1,Mid-low
22,7,No,0,0,Mid-low
69,24,Yes,12,1,Lowest
76,14,Yes,2,1,Lowest
65,12,Yes,12,1,Mid-high
74,16,Yes,6,0,Mid-low
47,12,Yes,6,0,Mid-high
77,15,Yes,5,1,Lowest
58,12,Yes,5,1,Highest
38,8,No,3,0,Mid-low
51,12,Yes,3,1,Mid-high
57,8,Yes,2,0,Lowest
23,13,Yes,6,1,Highest
51,11,Yes,4,1,Highest
36,11,Yes,4,1,Mid-high
48,16,Yes,12,1,Mid-high
75,12,Yes,0,0,Lowest
20,12,Yes,8,1,Mid-high
49,17,Yes,9,1,Highest
61,12,Yes,0,1,Lowest
38,11,Yes,6,1,Mid-high
44,16,No,9,1,Highest
19,12,Yes,12,1,Highest
67,7,Yes,4,1,Lowest
36,15,Yes,8,1,Mid-high
38,12,Yes,9,1,Highest
67,14,Yes,12,1,Mid-high
74,24,No,2,0,Lowest
38,12,Yes,2,1,Mid-low
30,8,No,5,1,Mid-high
26,12,Yes,12,1,Mid-high
33,18,Yes,12,1,Mid-high
31,17,Yes,9,1,Mid-high
33,17,Yes,12,1,Highest
74,11,No,0,0,Lowest
78,11,No,0,0,Lowest
56,12,Yes,9,1,Lowest
76,12,No,0,0,Lowest
38,16,Yes,12,1,Lowest
58,11,No,3,0,Lowest
72,14,Yes,2,1,Mid-low
63,15,Yes,3,0,Mid-high
62,8,No,0,0,Lowest
61,13,Yes,4,1,Mid-high
28,12,Yes,12,1,Mid-high
66,11,No,999,0,Lowest
38,11,Yes,9,1,Highest
78,16,Yes,4,0,Lowest
77,12,Yes,0,1,Lowest
69,12,No,0,0,Lowest
66,11,No,0,0,Lowest
19,12,Yes,6,1,Lowest
57,10,No,0,0,Lowest
27,19,Yes,12,0,Mid-high
