,Country,CO2,GDP,population
0,Afghanistan,0.2245,1934.555054,36686788.0
1,Albania,1.6422,11104.16602,2877019.0
2,Algeria,3.8241,14228.02539,41927008.0
5,Angola,0.7912,7771.441895,31273538.0
8,Argentina,4.0824,18556.38281,44413592.0
9,Armenia,1.9737,11454.4248,2836563.0
11,Australia,16.7081,49830.80078,24979228.0
12,Austria,7.4865,42988.07031,8840518.0
13,Azerbaijan,3.7034,16628.05469,10152524.0
15,Bahrain,20.7778,39498.76563,1487346.0
16,Bangladesh,0.5118,4099.25293,163683952.0
17,Barbados,4.3104,11995.18652,279702.0
18,Belarus,6.4492,18727.31836,9695573.0
19,Belgium,8.7289,39756.20313,11448598.0
21,Benin,0.6317,2220.176514,11940688.0
24,Bolivia,2.1013,6695.774414,11606906.0
26,Bosnia and Herzegovina,6.6412,10460.52051,3400132.0
27,Botswana,3.3545,15842.12988,2451411.0
28,Brazil,2.3091,14033.56543,210166592.0
31,Bulgaria,6.1883,18444.25977,7117424.0
32,Burkina Faso,0.2177,1589.624146,20392730.0
33,Burundi,0.0608,651.3588867,11493476.0
34,Cambodia,0.7925,3628.561035,16025242.0
35,Cameroon,0.3146,2888.045898,25076752.0
36,Canada,15.6299,44868.74219,37035260.0
37,Cape Verde,1.0983,6831.21582,571209.0
39,Central African Republic,0.0471,623.4888916,5094795.0
40,Chad,0.0675,2046.363159,15604213.0
41,Chile,4.5068,22104.76563,18701452.0
42,China,7.2077,13101.70605,1417069440.0
43,Colombia,1.7092,13545.0498,49276968.0
44,Comoros,0.3522,1724.420654,776322.0
45,Congo,0.6907,5714.591797,5441061.0
47,Costa Rica,1.6446,14686.25391,5040738.0
48,Cote d'Ivoire,0.4089,3713.643555,25493990.0
49,Croatia,4.2581,22012.31445,4160488.0
50,Cuba,1.994,8325.630859,11328243.0
52,Cyprus,6.1722,27184.41602,1218834.0
53,Czechia,9.9508,30748.50781,10534598.0
55,Democratic Republic of Congo,0.0331,859.3817139,87087352.0
56,Denmark,6.0277,46312.34375,5766689.0
57,Djibouti,0.4054,3295.681396,1057204.0
58,Dominica,2.2508,9021.173828,70840.0
59,Dominican Republic,2.4182,15912.39941,10765532.0
61,Ecuador,2.2195,10638.8252,17015672.0
62,Egypt,2.3137,11957.21191,103740768.0
63,El Salvador,0.9923,8598.198242,6276340.0
64,Equatorial Guinea,8.5654,28528.95313,1502102.0
66,Estonia,13.5644,27408.66406,1322146.0
67,Eswatini,0.9093,8068.211914,1160430.0
68,Ethiopia,0.1479,1838.490356,111129440.0
72,Finland,8.3021,38896.69922,5515465.0
74,France,4.9603,38515.91797,64277812.0
77,Gabon,2.2455,17613.55664,2192013.0
78,Gambia,0.2378,1882.239868,2444916.0
79,Georgia,2.5243,11984.90527,3772323.0
80,Germany,9.0721,46177.61719,82896696.0
81,Ghana,0.5604,4267.066895,30870648.0
83,Greece,6.8244,23450.76563,10633275.0
88,Guatemala,1.0811,7402.114746,16850176.0
90,Guinea,0.2969,1606.466553,12554871.0
91,Guinea-Bissau,0.1662,1501.413574,1924954.0
93,Haiti,0.3028,1729.043213,11012427.0
94,Honduras,1.0482,5041.635254,9792854.0
95,Hong Kong,5.7976,50839.37109,7481563.0
96,Hungary,5.0897,25622.8125,9776361.0
97,Iceland,10.8799,43438.54297,352951.0
98,India,1.922,6806.498535,1369003264.0
99,Indonesia,2.2972,11851.7373,267066848.0
100,Iran,8.6449,17011.30469,85617560.0
101,Iraq,5.4985,12835.8125,40590700.0
102,Ireland,8.134,64684.30078,4834506.0
104,Israel,7.2238,32954.76953,8456487.0
105,Italy,5.7568,34364.16797,59877432.0
106,Jamaica,2.7391,7272.980469,2811842.0
107,Japan,8.9893,38673.80859,126255872.0
109,Jordan,2.5348,11506.33789,10459864.0
110,Kazakhstan,17.3191,25307.55469,18538100.0
111,Kenya,0.3506,3377.470459,49953300.0
114,Kuwait,23.1008,65520.73828,4317190.0
115,Kyrgyzstan,1.8556,5176.988281,6223503.0
116,Laos,2.7649,6450.906738,7105008.0
118,Latvia,4.0755,24312.67773,1935632.0
119,Lebanon,3.8708,12558.9668,5950842.0
120,Lesotho,1.2252,2731.466064,2198030.0
121,Liberia,0.2252,818.4210815,4889396.0
122,Libya,7.99,15013.3125,6477791.0
124,Lithuania,4.8893,27370.55469,2876128.0
126,Luxembourg,15.8354,57427.5,607920.0
128,Madagascar,0.1587,1427.600342,26846544.0
129,Malawi,0.0865,1116.640259,18367886.0
130,Malaysia,8.6345,24842.35547,32399270.0
132,Mali,0.1918,1667.295044,19934304.0
133,Malta,3.5021,32028.91211,491590.0
136,Mauritania,0.8329,3457.514893,4270717.0
137,Mauritius,3.5623,20138.57227,1295386.0
139,Mexico,3.6081,16494.07813,124013864.0
142,Moldova,1.3408,6746.728516,3141839.0
144,Mongolia,14.9949,13382.54199,3163994.0
145,Montenegro,3.8227,19504.1582,631459.0
147,Morocco,1.729,8451.135742,35927516.0
148,Mozambique,0.2336,1132.770874,29423882.0
149,Myanmar,0.6085,5838.217285,52666016.0
150,Namibia,1.6652,9043.120117,2405682.0
152,Nepal,0.4873,2727.423828,28506718.0
153,Netherlands,9.3215,47474.10938,17286042.0
155,New Zealand,7.5455,35336.13672,4838528.0
156,Nicaragua,0.8168,4952.477051,6572234.0
157,Niger,0.083,964.6600952,22577060.0
158,Nigeria,0.6531,5237.662109,198387616.0
160,North Korea,0.6917,1596.351685,25638152.0
161,North Macedonia,3.3721,13074.23145,2113497.0
163,Norway,8.3307,84580.13281,5312321.0
165,Oman,12.5515,36477.63672,4601160.0
166,Pakistan,1.1229,5510.396484,219731488.0
168,Palestine,0.608,5207.756836,4805549.0
169,Panama,2.5691,22637.14844,4165258.0
171,Paraguay,1.2233,9338.948242,6443337.0
172,Peru,1.7084,12310.08496,32203946.0
173,Philippines,1.3189,8139.139648,108568832.0
174,Poland,8.8866,27455.23633,38521464.0
175,Portugal,5.0206,27035.59961,10289833.0
177,Qatar,38.4397,153764.1719,2766743.0
179,Romania,3.9787,20126.29297,19606778.0
180,Russia,11.6078,24668.9082,145652288.0
181,Rwanda,0.0928,1929.285156,12531810.0
185,Saint Lucia,2.8,10475.36914,177894.0
191,Sao Tome and Principe,0.625,3730.20459,211358.0
192,Saudi Arabia,18.4541,50304.75,35018132.0
193,Senegal,0.7147,2617.124512,15574910.0
194,Serbia,5.0281,14124.11816,7433825.0
195,Seychelles,5.736,29531.06055,103120.0
196,Sierra Leone,0.1245,1683.849731,7861287.0
197,Singapore,7.9898,68402.34375,5814543.0
199,Slovakia,6.6073,27075.53516,5446746.0
200,Slovenia,6.9753,29244.91992,2105931.0
203,South Africa,8.0321,12165.79492,57339632.0
205,South Korea,13.125,37927.60938,51676900.0
207,Spain,5.7763,31496.51953,46792044.0
208,Sri Lanka,0.9891,11662.90625,21580712.0
211,Sweden,4.2215,45541.89063,10162300.0
212,Switzerland,4.3243,61372.73047,8514431.0
213,Syria,1.792,3349.459717,19333464.0
214,Taiwan,11.921,44663.86328,23726186.0
215,Tajikistan,1.0007,4440.381836,9128131.0
216,Tanzania,0.2094,2874.962891,58090444.0
217,Thailand,3.9779,16648.62305,71127808.0
219,Togo,0.2903,1451.36084,8046680.0
222,Trinidad and Tobago,29.1223,28549.4082,1504707.0
223,Tunisia,2.5389,11353.88672,11933040.0
224,Turkey,5.094,19270.2207,82809304.0
225,Turkmenistan,12.0404,26318.36523,6065072.0
228,Uganda,0.1287,2045.420288,41515400.0
229,Ukraine,5.2441,9813.363281,44446952.0
230,United Arab Emirates,16.0112,76397.82031,9140172.0
231,United Kingdom,5.6878,38058.08594,66432996.0
232,United States,16.434,55334.73828,332140032.0
234,Uruguay,1.905,20185.83594,3427044.0
235,Uzbekistan,3.5328,11220.37012,32449578.0
238,Venezuela,4.1602,10709.9502,29825652.0
239,Vietnam,2.3415,6814.14209,94914328.0
243,World,4.8022,15212.41504,7683789824.0
244,Yemen,0.3503,2284.889893,30790514.0
246,Zambia,0.4215,3534.033691,17835898.0
247,Zimbabwe,0.821,1611.405151,15052191.0
