trialNumber,A,B
1,340.14,259.64
2,393.52,217.31
3,337.02,370.16
4,480.31,405.03
5,482.47,413.6
6,384.1,481.47
7,425.49,502.86
8,340.76,424.61
9,248.26,439.51
10,371.28,374.92
11,509.18,377.35
12,416.38,232.87
13,349.32,1017.6
14,382.43,392.71
15,396.88,423.49
16,392.95,484.19
17,426.88,389.07
18,493.95,540
19,205.55,177.08
20,361.68,155.9
21,402,416.04
22,602.18,416.32
23,426.35,252.53
24,577.82,421.65
25,382.75,529.43
26,331.47,366.24
27,374.84,428.92
28,349.43,469.1
29,366.01,401.62
30,203.41,535.19
31,348.35,448.38
32,345.67,436.93
33,414.16,391.18
34,179.43,428.17
35,359.76,387.89
36,416.96,355.06
37,674.13,770.26
38,386.65,444.84
39,388.96,452.53
40,401.45,443.13
41,399.98,416.53
42,415.75,411.8
43,350.93,440.74
44,357.94,427.28
45,433.41,205.53
46,336.37,373.55
47,415.38,964.87
48,172.32,200.63
49,372.63,166.52
50,375.9,409.64
51,357.61,435.27
52,369.73,463.21
53,352.72,578.21
54,353.22,187.75
55,334.18,360.76
56,393.53,161.74
57,445.32,396.78
58,410.1,220.7
59,369.84,225.04
60,335.49,432.26
61,433.71,269.22
62,365.16,435.69
63,474.55,391.51
64,390.95,440.67
65,346.96,502.57
66,383.24,295.67
67,365.03,406.65
68,342.05,382.77
69,406.91,410.77
70,343.06,440.85
71,379,432.1
72,426.53,445.15
73,436.71,401.37
74,370.35,304.44
75,387.42,502.21
76,364.95,476.08
77,219.47,415.62
78,425.77,454.99
79,345.56,450.68
80,402.2,426.15
81,335.12,389.79
82,366.84,385.45
83,489.02,424.58
84,704.77,418.29
85,395.29,446.52
86,448.99,282.47
87,757.42,367.59
88,466.01,464.11
89,454.02,378.11
90,417.28,443.16
91,333.85,417.05
92,378.94,415.63
93,367.58,480.96
94,413.16,354.68
95,459.6,414.56
96,330.32,392.76
97,706.43,399.49
98,402.87,439
99,586.3,327.15
100,438.55,509.71
101,364.87,198.71
102,441.54,475.83
103,316.49,493.04
104,367.39,449.66
105,387.03,421.61
106,364.93,353.59
107,327.2,443.63
108,431.18,359.22
109,456,396.56
110,393.34,417.41
111,193.35,438.69
112,402.37,445.83
113,368.02,151.71
114,373.06,362.08
115,388.22,402.1
116,422.69,390.6
117,444.71,323.77
118,358.23,429.03
119,354.71,447.05
120,210.85,496.38
121,208.68,418.11
122,455.16,411.4
123,414.11,244.99
124,407.74,255.74
125,385.79,539.85
126,477.07,481.19
127,470.65,401.68
128,410.81,458.96
129,392.37,468.67
130,315.52,549.47
131,386.12,437.2
132,231.63,216.72
133,384.28,358.08
134,393.83,400.19
135,382.74,407.81
136,237.62,444.61
137,393.9,425.16
138,779.44,392.6
139,255.01,615.34
140,404.78,398.97
141,461.83,501.44
142,402.4,383.81
143,159.47,426.94
144,387.47,345.51
145,408.68,443.14
146,363.44,456.23
147,348.45,402.79
148,364.34,479.3
149,439.55,433.59
150,371.74,448.15
151,396.91,408.52
152,465.64,201.44
153,338.67,393.84
154,384.6,510.13
155,323.45,437.82
156,443.16,471.59
157,417.94,127.48
158,292.88,392.16
159,670.93,365.2
160,331.6,437.29
161,448.82,492.41
162,398.05,500.79
163,406.22,429.09
164,436.18,433.48
165,366.93,432.36
166,386.06,460.66
167,407.59,435.81
168,746.76,455.19
169,433.14,242.01
170,364.99,398.49
171,339.97,783.1
172,275.44,490.7
173,215.98,524.11
174,366.25,397.91
175,214.48,448.66
176,411.15,366.85
177,403.06,480.14
178,428.97,360.33
179,424.47,461.89
180,310.29,384.13
181,356.46,317.34
182,495.5,238.32
183,464.75,436.27
184,401.68,471.81
185,365.97,434.45
186,357.86,429.72
187,351.88,464.56
188,377.21,410.85
189,501.01,452.9
190,428.81,446.77
191,421.58,420.1
192,417.4,465.4
193,365.28,494
194,118.82,185.72
195,348.76,431.64
196,362.22,158.14
197,485.64,509.43
198,487.65,473.27
199,372.17,464.07
200,413.11,235.88
201,414.95,184.54
202,365.17,403.05
203,400.33,448.68
204,469.22,425.51
205,329.96,389.09
206,552.13,445.69
207,472.05,411.21
208,443.85,541.46
209,479.39,729.83
210,473.19,148.19
211,215.02,224.66
212,280.17,454.11
213,323.59,514.88
214,472.84,512.26
215,398.22,361.51
216,352.3,394.69
217,374.34,409.74
218,474.6,200.66
219,388.53,409.93
220,345.54,394.84
221,377.14,394.12
222,460.72,436.51
223,432.06,367.16
224,413.66,381
225,396.53,517.74
226,244.58,392.14
227,318.04,455.2
228,353.68,388.86
229,327.19,463.85
230,258.39,426.69
231,461.51,364.27
232,423.74,174.97
233,348,180.19
234,372.05,457.8
235,397.68,453.56
