ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,effectx,fairx,confx,antisocx
135230170.0,Male,45.0,4,White,University,2.0,3.0,0.0,,,2.2905059085952195,3.42
135230210.0,Male,28.0,2,White,University,1.0,4.0,0.0,-0.7559490783216478,,-0.34919765046607654,-0.52
135231010.0,Female,58.0,5,Black or Black British,None,5.0,2.0,0.0,-1.3449095554818349,-0.5447858333935546,0.38179718127397466,2.27
135231210.0,Male,70.0,6,Asian or Asian British,GCSE,3.0,4.0,0.0,,,,
135233210.0,Female,64.0,5,White,Other,5.0,5.0,0.0,0.15244758984067475,0.9149327298357564,-0.613168006372206,0.84
135235130.0,Female,84.0,7,White,None,1.0,5.0,0.0,-0.4564776492571459,,-0.35935035646246616,-1.22
135237250.0,Male,84.0,7,White,None,4.0,4.0,0.0,-0.12705907728619373,0.377675203091635,-0.10553270655272615,
135238290.0,Female,34.0,2,Asian or Asian British,None,6.0,2.0,0.0,,,-0.35935035646246616,0.53
135239250.0,Female,47.0,4,White,ALevel,2.0,2.0,1.0,,,-0.613168006372206,
135241130.0,Female,50.0,4,White,University,1.0,3.0,0.0,-1.3449095554818349,-0.5143750299929439,-0.35935035646246616,-1.22
135241210.0,Male,21.0,1,White,University,1.0,4.0,0.0,1.599892830319101,-0.17985619258622682,0.09752141337506587,0.75
135244010.0,Male,36.0,3,Chinese or other,University,1.0,4.0,0.0,0.3720599711546429,,0.5848513012017668,1.22
135249210.0,Female,28.0,2,White,University,1.0,5.0,1.0,1.6198575922567342,-0.14944538918561617,-0.613168006372206,2.93
135250130.0,Female,33.0,2,White,University,1.0,5.0,0.0,-0.7559490783216478,-0.5143750299929439,0.08736870737867626,-0.5
135252250.0,Male,30.0,2,White,University,1.0,4.0,0.0,,-0.8184830639990504,0.38179718127397466,-1.22
135253010.0,Female,55.0,5,White,ALevel,5.0,3.0,0.0,0.9610204483148299,1.127808353640031,1.0518757770356884,
135253050.0,Male,44.0,3,White,ALevel,4.0,3.0,0.0,1.2904390202857823,0.377675203091635,-0.11568541254911573,0.26
135254050.0,Male,31.0,2,White,University,1.0,4.0,1.0,0.1324828279030413,0.18507344822110092,-0.35935035646246616,-0.7
135254090.0,Female,32.0,2,White,University,5.0,3.0,0.0,-0.21690050600554428,-2.2072430859602696,1.062028483032078,-0.3
135255050.0,Female,53.0,4,White,ALevel,1.0,5.0,0.0,0.44193663793636,-0.027802175583173584,-0.35935035646246616,-0.41
135255130.0,Female,33.0,2,White,GCSE,4.0,4.0,0.0,-0.4464952682883291,-0.6968398503966078,-1.3340101321158677,1.41
135255290.0,Female,64.0,5,White,University,1.0,3.0,0.0,,,,0.2
135258170.0,Female,32.0,2,White,University,1.0,1.0,0.0,1.0508618770341807,0.9656174021701074,1.975772022707142,-0.27
135260210.0,Female,48.0,4,White,University,1.0,4.0,0.0,0.6914961621567782,,0.3107282392992475,-0.43
135263170.0,Female,64.0,5,White,University,2.0,1.0,0.0,-0.1869533630990941,-0.5447858333935546,-0.866985656281946,-0.75
135267050.0,Female,54.0,4,White,GCSE,5.0,1.0,0.0,2.1688885455416544,1.2595885017093438,3.1331805062955564,2.69
135267090.0,Male,51.0,4,White,University,1.0,2.0,1.0,,,,
135267170.0,Female,29.0,2,White,GCSE,3.0,2.0,0.0,0.9809852102524635,-0.5447858333935546,-0.15629623653467414,2.02
135267290.0,Male,48.0,4,White,University,1.0,4.0,0.0,-0.1470238392238272,-0.14944538918561617,-0.15629623653467414,-0.71
135272210.0,Female,63.0,5,Asian or Asian British,Other,5.0,2.0,0.0,,,-1.2832466021339197,
135274130.0,Female,96.0,7,White,None,1.0,3.0,0.0,,,,
135277050.0,Male,24.0,1,White,GCSE,5.0,1.0,1.0,-0.7759138402592812,-0.5447858333935546,-0.14614353053828452,0.5
135280210.0,Female,20.0,1,Asian or Asian British,ALevel,5.0,1.0,0.0,,-0.4028687508573715,-0.35935035646246616,2.43
135281010.0,Female,31.0,2,White,GCSE,4.0,1.0,1.0,1.8694171164771525,,-1.0903451882025175,1.93
135281050.0,Female,36.0,3,White,University,5.0,2.0,0.0,-1.3449095554818349,-1.2543712460744694,0.03660517739672828,-0.73
135282130.0,Female,51.0,4,White,GCSE,3.0,3.0,0.0,-0.7359843163840144,,-0.15629623653467414,0.24
135282290.0,Female,46.0,4,White,University,2.0,5.0,1.0,1.0209147341277305,,-0.15629623653467414,0.01
135284050.0,Female,38.0,3,White,GCSE,1.0,3.0,0.0,-1.0654028883549664,-0.5447858333935546,-0.15629623653467414,-1.22
135284090.0,Female,47.0,4,,None,1.0,5.0,0.0,-0.7759138402592812,-0.7475245227309588,0.40210259326675385,-0.97
135284290.0,Female,26.0,2,White,ALevel,1.0,1.0,0.0,-1.3449095554818349,,-1.7807291959570102,1.49
135287050.0,Female,18.0,1,White,ALevel,1.0,2.0,0.0,0.11251806596540785,0.9250696643026266,-0.11568541254911573,0.97
135290090.0,Male,19.0,1,White,ALevel,8.0,2.0,0.0,-0.47644241119477926,,-0.5624044763902581,0.47
135290170.0,Female,66.0,6,White,ALevel,1.0,5.0,0.0,-0.4564776492571459,-0.10889765131813531,-0.35935035646246616,0.78
135290210.0,Female,69.0,6,White,None,5.0,5.0,0.0,,,-1.2832466021339197,-1.22
135292050.0,Male,53.0,4,White,University,3.0,5.0,0.0,-0.4464952682883291,-0.14944538918561617,-0.35935035646246616,1.01
135292090.0,Male,48.0,4,White,Other,5.0,3.0,0.0,1.000949972190097,1.9184892420559074,1.0518757770356884,1.54
135293050.0,Male,21.0,1,White,ALevel,4.0,4.0,0.0,-0.486424792163596,,-0.35935035646246616,-1.22
135296210.0,Male,20.0,1,Asian or Asian British,ALevel,7.0,4.0,0.0,,0.6209616302965201,0.7676000091367796,0.42
135297250.0,Male,41.0,3,White,ALevel,1.0,4.0,0.0,-0.47644241119477926,-0.5447858333935546,-0.35935035646246616,-0.75
135298130.0,Female,21.0,1,White,GCSE,5.0,1.0,0.0,0.6815137811879615,1.6143812080498012,0.7371418911476108,0.69
135298170.0,Male,51.0,4,White,GCSE,4.0,2.0,0.0,,-0.4130056853242417,2.0366882586854795,-0.19
135300170.0,Female,71.0,6,White,None,1.0,4.0,0.0,2.1688885455416544,1.036575943438199,1.2549298969634803,-0.52
135302010.0,Male,39.0,3,White,University,3.0,3.0,0.0,-1.3449095554818349,-0.3623210129898906,0.09752141337506587,-1.22
135303050.0,Male,66.0,6,White,None,4.0,4.0,0.0,1.2804566393169654,0.2661689239560627,2.0062301406963106,-1.22
135303170.0,Female,64.0,5,White,GCSE,3.0,4.0,1.0,,,1.2549298969634803,-1.22
135303210.0,Male,37.0,3,White,ALevel,3.0,1.0,0.0,0.7114609240944116,1.5839704046491907,-0.3796557684552454,-0.28
135304010.0,Female,21.0,1,White,GCSE,1.0,1.0,0.0,,,0.3411863572884163,0.49
135306130.0,Female,53.0,4,Asian or Asian British,GCSE,8.0,3.0,0.0,,,,-0.54
135306210.0,Male,42.0,3,White,University,2.0,5.0,0.0,0.1324828279030413,0.35740133415789455,0.3107282392992475,-0.73
135306290.0,Male,56.0,5,White,None,3.0,5.0,0.0,1.6198575922567342,2.5875269168693418,-0.35935035646246616,-0.5
