ID,Sex,Age,EthnicGroup,Education,SES,DeprivationIndex,bcsvictim,effectx,fairx,confx,antisocx
135230170.00,1.00,45.00,1.00,4.00,2.00,3.00,0.00,9999.00,9999.00,2.29,3.42
135230210.00,1.00,28.00,1.00,4.00,1.00,4.00,0.00,-0.75,9999.00,-0.31,-0.52
135231010.00,2.00,58.00,4.00,1.00,5.00,2.00,0.00,-1.34,-0.53,0.41,2.27
135231210.00,1.00,70.00,3.00,2.00,3.00,4.00,0.00,9999.00,9999.00,9999.00,9999.00
135233210.00,2.00,64.00,1.00,5.00,5.00,5.00,0.00,0.16,0.91,-0.57,0.84
135235130.00,2.00,84.00,1.00,1.00,1.00,5.00,0.00,-0.45,9999.00,-0.32,-1.22
135237250.00,1.00,84.00,1.00,1.00,4.00,4.00,0.00,-0.12,0.38,-0.07,9999.00
135238290.00,2.00,34.00,3.00,1.00,6.00,2.00,0.00,9999.00,9999.00,-0.32,0.53
135239250.00,2.00,47.00,1.00,3.00,2.00,2.00,1.00,9999.00,9999.00,-0.57,9999.00
135241130.00,2.00,50.00,1.00,4.00,1.00,3.00,0.00,-1.34,-0.50,-0.32,-1.22
135241210.00,1.00,21.00,1.00,4.00,1.00,4.00,0.00,1.61,-0.17,0.13,0.75
135244010.00,1.00,36.00,5.00,4.00,1.00,4.00,0.00,0.38,9999.00,0.61,1.22
135249210.00,2.00,28.00,1.00,4.00,1.00,5.00,1.00,1.63,-0.14,-0.57,2.93
135250130.00,2.00,33.00,1.00,4.00,1.00,5.00,0.00,-0.75,-0.50,0.12,-0.50
135252250.00,1.00,30.00,1.00,4.00,1.00,4.00,0.00,9999.00,-0.80,0.41,-1.22
135253010.00,2.00,55.00,1.00,3.00,5.00,3.00,0.00,0.97,1.12,1.07,9999.00
135253050.00,1.00,44.00,1.00,3.00,4.00,3.00,0.00,1.30,0.38,-0.08,0.26
135254050.00,1.00,31.00,1.00,4.00,1.00,4.00,1.00,0.14,0.19,-0.32,-0.70
