rowlabel	split	sex	yrsarea	resyrago	work2	tenure1	livharm1	agegrp7	ethgrp2a	educat3	rural2	edeprivex	wdeprivex	IndivWgtx	cause2m	walkdark	walkday	homealon	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	wraceatt	worryx	bcsvictim	rubbcomm	vandcomm	poorhou	antisocx
137068050	1	2	7	 	1	2	3	4	1	4	1	2	 	.543482959270477	 	 	 	 	 	 	 	 	 	 	 	 	0	3	3	3	2.06543946266174
147461190	3	2	6	 	2	1	1	5	1	4	2	4	 	1.21283793449402	 	 	 	 	3	4	 	 	4	4	4	-1.13190197944641	0	4	4	4	 
137116250	1	2	7	2	2	4	6	5	1	4	1	1	 	.569611310958862	 	 	 	 	 	 	 	 	 	 	 	 	0	3	4	3	-.235942155122757
147354190	3	2	7	 	1	2	1	5	1	2	1	1	 	.994296252727509	 	 	 	 	2	3	 	 	4	3	4	-.257573813199997	1	4	4	4	 
137061230	3	2	7	 	2	4	6	6	1	1	2	3	 	.410276591777802	 	 	 	 	2	2	 	 	2	2	3	1.18415200710297	0	3	3	3	 
136898230	3	2	7	 	2	1	1	6	1	2	1	2	 	1.20282745361328	 	 	 	 	3	4	 	 	4	3	4	-.822691202163696	0	4	4	4	 
135507330	1	1	6	 	1	4	1	4	1	1	1	1	 	1.98890960216522	 	 	 	 	 	 	 	 	 	 	 	 	0	3	3	3	-1.21526670455933
136450220	2	2	5	 	1	1	1	5	1	4	1	5	 	1.12460839748383	 	 	 	 	 	 	3	3	 	 	 	 	0	4	4	4	 
136111200	4	1	7	 	2	1	1	5	1	4	2	4	 	.714234352111816	7	1	1	1	 	 	 	 	 	 	 	 	0	4	4	4	 
136599250	1	1	7	 	2	1	1	7	1	3	2	5	 	.738865315914154	 	 	 	 	 	 	 	 	 	 	 	 	0	4	4	4	 
136229130	1	1	4	 	1	2	3	2	1	4	1	1	 	.534891963005066	 	 	 	 	 	 	 	 	 	 	 	 	0	3	3	3	.936446130275726
136947260	2	1	5	 	2	1	1	7	1	3	1	 	4	.651665151119232	 	 	 	 	 	 	4	3	 	 	 	 	0	4	4	4	 
147438230	3	2	7	 	2	4	1	7	1	1	2	2	 	1.38918423652649	 	 	 	 	3	3	 	 	3	3	4	-.246148273348808	0	3	3	3	 
136318080	4	1	7	 	1	1	1	4	3	2	1	1	 	1.09799647331238	4	2	1	2	 	 	 	 	 	 	 	 	0	2	4	1	 
137011300	2	2	7	 	2	1	3	4	1	3	1	3	 	1.02577245235443	 	 	 	 	 	 	 	 	 	 	 	 	0	3	4	4	 
136610310	3	2	7	 	2	1	6	7	1	1	1	4	 	.368914783000946	 	 	 	 	3	2	 	 	4	3	4	-.205736204981804	0	4	4	4	 
136602010	1	1	3	 	1	4	4	4	1	4	1	5	 	.50788426399231	 	 	 	 	 	 	 	 	 	 	 	 	0	3	3	3	.938187062740326
136659080	4	1	7	 	2	1	6	6	1	3	1	2	 	.463606536388397	7	1	1	1	 	 	 	 	 	 	 	 	0	4	4	4	 
136613110	3	1	2	1	2	1	3	5	1	3	1	1	 	.484673321247101	 	 	 	 	4	3	 	 	4	3	4	-.770853579044342	0	3	4	3	 
136842090	1	2	7	 	1	2	1	3	1	4	1	1	 	1.24301421642303	 	 	 	 	 	 	 	 	 	 	 	 	0	3	3	3	2.42253255844116
147439070	3	2	7	 	2	1	4	6	1	2	1	2	 	.593143463134766	 	 	 	 	4	4	 	 	4	4	4	-1.3885418176651	0	4	4	4	 
137091280	4	2	5	 	2	4	2	4	1	2	1	 	1	1.57187855243683	5	3	1	1	 	 	 	 	 	 	 	 	0	2	3	3	 
136044190	3	2	6	 	1	2	1	3	1	3	1	2	 	2.04961824417114	 	 	 	 	3	4	 	 	4	3	4	-.822691202163696	0	4	4	4	 
147591040	4	2	6	 	1	2	1	4	1	4	1	4	 	1.10989594459534	5	3	1	2	 	 	 	 	 	 	 	 	1	3	4	3	 
136941090	1	2	4	 	1	2	1	3	1	4	2	5	 	.545940697193146	 	 	 	 	 	 	 	 	 	 	 	 	1	4	4	4	-.252225667238235
147499200	4	1	5	 	1	1	2	4	1	3	1	 	2	.541649281978607	13	4	2	1	 	 	 	 	 	 	 	 	0	4	4	4	 
137000320	4	2	6	 	2	4	5	5	1	2	1	1	 	.657516777515411	4	4	1	2	 	 	 	 	 	 	 	 	0	2	2	3	 
136994150	3	1	6	 	1	4	3	2	1	4	1	1	 	.824039340019226	 	 	 	 	3	2	 	 	4	3	4	-.205736204981804	0	3	3	3	 
136088080	4	2	1	2	1	4	5	5	1	5	1	2	 	.551782310009003	2	3	2	3	 	 	 	 	 	 	 	 	1	3	4	4	 
147272190	3	1	7	 	2	5	2	6	1	1	2	4	 	1.18958330154419	 	 	 	 	3	3	 	 	4	3	4	-.514213681221008	0	4	4	4	 
137087210	1	2	7	1	2	4	1	6	1	4	2	 	4	.475309729576111	 	 	 	 	 	 	 	 	 	 	 	 	0	4	4	4	-1.21526670455933
