happy,ladder,sex,marital,educ,work,income,region,age,leftout
0,3,Male,Married/living with a partner,Lower secondary or below,Employed,Low-medium,South East,36,Agree
7,7,Male,Single,Lower secondary or below,Employed,Low,South East,53,Disagree
3,10,Male,Single,Tertiary education,Employed,Medium-high,North West,60,Disagree
5,7,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,East of England,41,Disagree
9,8,Male,Married/living with a partner,Tertiary education,Other,,London,70,Neither agree nor disagree
2,5,Female,Married/living with a partner,Lower secondary or below,Employed,Low,Yorkshire and the Humber,54,Strongly agree
8,4,Female,Single,Upper secondary education,Other,,South West,75,Agree
9,8,Female,Married/living with a partner,Tertiary education,Other,High,South East,73,Strongly disagree
5,2,Female,Single,Lower secondary or below,Employed,Low,West Midlands,74,Neither agree nor disagree
10,6,Male,Single,Lower secondary or below,Other,Medium-high,North West,54,Strongly agree
8,6,Female,Married/living with a partner,Tertiary education,Employed,High,South East,25,Disagree
7,7,Female,Married/living with a partner,Tertiary education,Employed,,London,36,Disagree
7,6,Male,Married/living with a partner,Tertiary education,Employed,,South West,43,Disagree
5,6,Male,Married/living with a partner,Upper secondary education,Employed,,South East,50,Neither agree nor disagree
0,6,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,Yorkshire and the Humber,75,Agree
6,3,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,Yorkshire and the Humber,24,Neither agree nor disagree
6,99,Male,Married/living with a partner,Tertiary education,Employed,High,London,37,
1,6,Female,Single,Upper secondary education,Employed,Low,South West,30,Strongly agree
8,5,Female,Married/living with a partner,Tertiary education,Other,Low-medium,North West,79,Disagree
10,7,Female,Married/living with a partner,Upper secondary education,Other,,West Midlands,75,Strongly disagree
5,99,Male,Married/living with a partner,Upper secondary education,Employed,,North East,30,Neither agree nor disagree
9,7,Male,Married/living with a partner,Tertiary education,Other,Medium-high,South West,71,Strongly disagree
7,3,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,South East,26,Agree
6,6,Female,Married/living with a partner,Upper secondary education,Employed,High,North West,38,Disagree
5,7,Female,Married/living with a partner,Lower secondary or below,Employed,Medium-high,South West,39,Neither agree nor disagree
5,6,Female,Single,Upper secondary education,Full time student,,East Midlands,20,Disagree
5,6,Male,Single,Upper secondary education,Other,Low,Yorkshire and the Humber,61,Agree
9,99,Female,Single,Upper secondary education,Full time student,High,East of England,21,Strongly disagree
7,6,Male,Single,Tertiary education,Employed,Medium-high,South East,47,Disagree
6,7,Male,Single,Tertiary education,Employed,Medium-high,North West,28,Strongly agree
9,8,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,North West,66,Disagree
10,9,Male,Married/living with a partner,Tertiary education,Employed,,South East,79,Strongly disagree
2,6,Male,Married/living with a partner,Upper secondary education,Other,Low,East of England,76,Agree
8,6,Female,Married/living with a partner,Upper secondary education,Employed,Low,East of England,48,Neither agree nor disagree
7,7,Female,Married/living with a partner,Lower secondary or below,Employed,,East of England,55,Strongly disagree
10,99,Male,Married/living with a partner,Upper secondary education,Employed,High,North West,45,Disagree
8,7,Female,Married/living with a partner,Upper secondary education,Unemployed/not working,Low,East Midlands,63,Disagree
4,7,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,North West,36,Disagree
7,6,Male,,Lower secondary or below,Employed,,East Midlands,57,Strongly disagree
7,8,Female,Single,Upper secondary education,Full time student,,Scotland,21,Disagree
2,6,Male,Single,Tertiary education,Unemployed/not working,Low,London,54,Agree
6,6,Male,Married/living with a partner,Upper secondary education,Employed,High,London,54,Neither agree nor disagree
6,6,Female,Married/living with a partner,Tertiary education,Employed,Low-medium,London,54,Disagree
7,8,Male,Married/living with a partner,Tertiary education,Employed,High,East of England,34,Neither agree nor disagree
8,6,Female,Single,Lower secondary or below,Other,,East Midlands,71,Neither agree nor disagree
6,7,Female,Married/living with a partner,Upper secondary education,Other,Low-medium,South East,53,Neither agree nor disagree
6,7,Male,Married/living with a partner,Upper secondary education,Other,,South West,71,Neither agree nor disagree
10,7,Male,Married/living with a partner,Upper secondary education,Other,Medium-high,South East,77,Strongly disagree
5,7,Female,Married/living with a partner,Tertiary education,Employed,,South East,54,Neither agree nor disagree
9,6,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,South West,68,Agree
7,4,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,North West,58,Agree
