YYYY,Month,MM,DD,DD365,Tmax,Tmin,Tmean,Trange,Rainfall_mm
1827,Jan,1,1,1,8.3,5.6,7,2.7,0
1827,Jan,1,2,2,2.2,0,1.1,2.2,0
1827,Jan,1,3,3,-2.2,-8.3,-5.3,6.1,9.7
1827,Jan,1,4,4,-1.7,-7.8,-4.8,6.1,0
1827,Jan,1,5,5,0,-10.6,-5.3,10.6,0
1827,Jan,1,6,6,1.7,-6.7,-2.5,8.4,0
1827,Jan,1,7,7,7.2,0.6,3.9,6.6,0
1827,Jan,1,8,8,9.4,5.6,7.5,3.8,0
1827,Jan,1,9,9,7.2,4.4,5.8,2.8,0
1827,Jan,1,10,10,4.4,2.2,3.3,2.2,0
1827,Jan,1,11,11,2.2,1.7,2,0.5,12.9
1827,Jan,1,12,12,3.3,2.2,2.8,1.1,0
1827,Jan,1,13,13,7.2,-2.2,2.5,9.4,0
1827,Jan,1,14,14,10,2.8,6.4,7.2,0
1827,Jan,1,15,15,4.4,-1.1,1.7,5.5,0
1827,Jan,1,16,16,9.4,2.2,5.8,7.2,0
1827,Jan,1,17,17,3.9,2.8,3.4,1.1,0
1827,Jan,1,18,18,2.2,1.1,1.7,1.1,3.2
1827,Jan,1,19,19,1.1,-2.2,-0.6,3.3,0
1827,Jan,1,20,20,0,-6.7,-3.4,6.7,0
1827,Jan,1,21,21,0,-4.4,-2.2,4.4,0
1827,Jan,1,22,22,-2.8,-7.2,-5,4.4,0
1827,Jan,1,23,23,-1.1,-7.2,-4.2,6.1,0
1827,Jan,1,24,24,0.6,-4.4,-1.9,5,0
1827,Jan,1,25,25,-1.7,-3.3,-2.5,1.6,0
1827,Jan,1,26,26,0.6,-8.3,-3.9,8.9,0
1827,Jan,1,27,27,0.6,-2.2,-0.8,2.8,0
1827,Jan,1,28,28,5.6,-6.1,-0.3,11.7,0
1827,Jan,1,29,29,7.8,1.7,4.8,6.1,0
1827,Jan,1,30,30,5.6,2.2,3.9,3.4,0
1827,Jan,1,31,31,7.2,3.9,5.6,3.3,1.2
1827,Feb,2,1,32,7.2,3.9,5.6,3.3,0
1827,Feb,2,2,33,2.8,-0.6,1.1,3.4,0
1827,Feb,2,3,34,1.7,-1.7,0,3.4,0
1827,Feb,2,4,35,1.7,-5,-1.7,6.7,0
1827,Feb,2,5,36,1.1,-3.9,-1.4,5,0
1827,Feb,2,6,37,3.9,-6.1,-1.1,10,0
1827,Feb,2,7,38,3.9,-2.2,0.9,6.1,0
1827,Feb,2,8,39,1.7,-3.9,-1.1,5.6,0
1827,Feb,2,9,40,0.6,-4.4,-1.9,5,0
