YYYY,Month,MM,DD,Tmax,Tmin,Tmean,Trange,Rainfall_mm
1827,Sep,9,7,15.6,7.8,11.7,7.8,0
1827,Sep,9,8,17.8,9.4,13.6,8.4,0
1827,Sep,9,9,17.8,12.2,15,5.6,0
1827,Sep,9,10,20.6,13.3,17,7.3,14.8
1827,Sep,9,11,21.7,16.7,19.2,5,4.5
1827,Sep,9,12,17.8,14.4,16.1,3.4,9.7
1827,Sep,9,13,18.3,10,14.2,8.3,1.1
1827,Sep,9,14,19.4,14.4,16.9,5,0
1827,Sep,9,15,18.9,15,17,3.9,0
1827,Sep,9,16,19.4,15.6,17.5,3.8,0
1827,Sep,9,17,20,15,17.5,5,0
1827,Sep,9,18,20.6,15,17.8,5.6,0
1827,Sep,9,19,15,7.8,11.4,7.2,0
1827,Sep,9,20,18.3,7.8,13.1,10.5,13
1827,Sep,9,21,17.8,7.2,12.5,10.6,0
1827,Sep,9,22,16.7,8.9,12.8,7.8,1.6
1827,Sep,9,23,16.7,6.9,11.8,9.8,1.6
1827,Sep,9,24,16.7,7.2,12,9.5,0
1827,Sep,9,25,17.8,9.4,13.6,8.4,0
1827,Sep,9,26,19.4,11.7,15.6,7.7,0
1827,Sep,9,27,20.6,11.1,15.9,9.5,17.8
1827,Sep,9,28,18.3,10,14.2,8.3,0
1827,Sep,9,29,16.7,12.2,14.5,4.5,0
1827,Sep,9,30,18.3,12.8,15.6,5.5,24.1
1827,Oct,10,1,17.8,11.1,14.5,6.7,0
1827,Oct,10,2,17.8,11.1,14.5,6.7,0
1827,Oct,10,3,14.4,10,12.2,4.4,0
1827,Oct,10,4,14.4,7.2,10.8,7.2,0
1827,Oct,10,5,15.6,7.8,11.7,7.8,0
1827,Oct,10,6,16.1,7.8,12,8.3,0
1827,Oct,10,7,15,7.2,11.1,7.8,0
1827,Oct,10,8,15.6,10,12.8,5.6,0
1827,Oct,10,9,16.1,11.7,13.9,4.4,38.7
1827,Oct,10,10,12.2,6.7,9.5,5.5,0
1827,Oct,10,11,11.7,7.2,9.5,4.5,21.3
1827,Oct,10,12,11.7,6.7,9.2,5,0
1827,Oct,10,13,12.8,7.8,10.3,5,0
