studentID,subject,height
186640,psychology,154
588140,psychology,156.3
977390,psychology,165.6
948470,psychology,162
564360,psychology,162
604180,psychology,159
770760,psychology,166.1
559170,psychology,165.9
213240,psychology,163.7
660220,psychology,165.6
311550,psychology,163.1
249170,psychology,176.6
139690,geography,171.6
636160,geography,171.5
649650,geography,154.6
595280,geography,162.6
772880,geography,164.4
174880,geography,168.6
767580,geography,175.3
688870,geography,168.4
723650,geography,183.5
445960,geography,164.1
