ID_code,score
186640,53
588140,90
977390,30
948470,42
564360,84
604180,33
770760,53
559170,32
213240,30
660220,80
311550,77
249170,78
139690,75
636160,12
649650,39
595280,39
772880,81
174880,14
767580,40
688870,41
723650,33
445960,39
708780,75
109960,21
968530,22
164930,62
744410,70
499380,72
290560,82
780690,36
660820,60
758780,52
363320,85
638840,75
483930,19
102800,81
581620,77
754980,28
268960,36
314040,83
324960,81
910750,39
248500,20
753360,72
707550,75
898920,30
185480,17
849390,85
935210,71
583190,28
635550,34
210530,36
790080,25
803290,10
461120,33
157130,25
656670,45
679640,11
943690,47
162270,65
132500,43
799300,76
301610,52
560500,36
320440,49
931060,55
430320,62
685240,77
583200,76
253850,78
121280,86
662500,48
222860,16
202310,72
141510,30
614890,82
594520,41
106240,85
647720,29
973630,75
641640,40
534610,75
886820,24
317070,33
445700,89
870730,31
847200,29
348580,78
313280,78
513630,82
909190,40
969660,16
352760,83
629750,35
256520,52
643480,30
813270,84
458680,86
113030,8
510660,77
919120,94
405450,58
617460,80
577870,86
806460,42
364820,12
505010,43
972430,72
643770,54
173480,33
254180,20
211880,36
795050,74
769860,74
380720,18
411760,23
627160,31
875550,26
381400,81
810580,84
582220,24
868410,84
201670,42
543660,51
270730,83
683950,36
926720,85
982590,82
807300,83
135620,16
655700,49
203830,72
769010,45
778020,16
325040,78
258440,19
118590,77
763500,22
719120,20
343320,88
553920,59
806390,32
994240,32
555720,85
558440,33
425400,37
821560,76
309170,13
450020,82
347430,82
240580,35
682280,57
986730,93
241210,16
767460,78
481000,34
969830,61
823990,60
973840,47
984990,29
797610,29
965620,14
674970,32
117610,17
328790,53
743170,30
752250,86
830410,83
291990,85
445410,48
262260,37
161240,12
977650,75
682220,88
858760,70
409250,44
158920,77
124570,21
116150,22
499300,46
383040,5
675700,15
565770,83
164090,74
778380,13
471240,74
969790,45
454550,8
978570,75
633480,76
109080,46
597600,16
856020,56
244330,39
159070,45
698660,28
735170,18
921920,86
590130,38
105710,21
300880,16
106300,61
295060,26
133610,82
889050,20
513950,88
323670,68
378890,83
698650,28
271510,34
983160,84
576810,37
372310,50
367210,21
895220,30
382140,44
886120,37
952020,26
677040,79
640090,26
551020,78
841850,33
881760,77
708800,29
398650,49
566360,84
465280,72
367390,65
228640,30
573430,9
191560,17
845940,32
991280,29
370190,21
795380,80
831140,45
351860,83
222590,52
214280,52
896700,53
443120,77
754150,65
998490,80
958350,78
875690,31
467210,31
571760,41
711060,85
628680,26
457780,32
755310,26
544740,31
861410,35
242330,86
756840,19
182280,35
668540,23
407270,51
404310,25
840900,28
231910,83
159760,28
765740,70
609030,77
249580,71
981740,36
531000,82
557760,20
747420,73
532200,48
430750,84
693160,26
506270,88
653910,49
398980,48
232310,81
483370,76
368060,85
413580,22
455060,18
640300,75
954390,16
358480,30
857030,69
428060,21
261840,80
260370,77
514250,73
930160,55
693250,76
486390,26
265800,47
609360,90
891740,27
744560,35
763070,49
397200,72
939020,33
442250,59
180740,43
679610,92
436350,32
186330,75
659620,29
927920,42
619960,86
137180,83
256070,50
641270,15
118860,26
779740,21
432880,84
106790,34
739940,44
483630,26
122930,82
982380,50
532880,84
366560,73
864650,64
642080,72
912770,15
267830,82
875190,47
486140,36
996310,13
477320,87
514250,21
414830,76
517480,79
892340,80
207700,76
958860,34
502210,20
638860,50
567610,85
957980,85
889360,25
745690,15
419020,79
700120,60
566930,24
501470,86
148480,50
615280,21
979620,82
272670,35
571970,31
410510,41
223280,25
141000,78
620250,38
369040,85
640300,77
566290,11
622140,19
313960,54
394300,46
940420,60
926100,36
919920,83
544040,35
170590,84
563840,29
566040,87
511020,23
914740,24
497210,75
734480,21
601930,85
867000,39
965180,37
138080,18
584650,49
869410,80
754930,71
936260,30
665880,78
379140,33
285260,20
379130,81
626680,28
683090,51
760180,68
304460,44
161010,90
735400,22
603090,34
545420,81
736150,13
803240,34
283780,81
606740,20
203100,26
613610,19
394390,33
679620,36
244590,43
717380,42
462380,23
646950,34
227010,50
506780,44
481840,20
406170,85
285740,84
218540,36
365380,80
483870,19
532500,21
396500,30
496160,46
124300,31
205580,48
308580,21
135470,83
745510,84
255690,41
696320,79
780880,74
765410,16
417680,43
652460,44
503880,80
521670,31
294980,47
636880,78
300720,86
350260,85
960090,37
981610,29
238520,85
777540,76
724550,28
705070,29
811860,25
218160,47
365690,46
525970,45
703880,72
880920,52
130860,29
323640,40
967560,19
867860,38
207830,38
673330,31
933380,79
559760,90
379720,19
633510,30
697360,35
501920,36
997010,36
912960,36
260550,36
466150,49
939140,29
998200,16
242840,18
984660,52
147720,80
816400,46
771640,41
720840,81
111290,26
582140,11
819420,30
132780,30
216990,48
343600,77
659660,35
536810,57
298740,53
446050,20
723380,89
444110,80
791310,30
418920,13
180930,38
813810,51
259080,25
913120,47
502030,20
654630,84
773200,31
907780,21
169180,32
211160,76
344410,37
800070,87
828440,73
161780,74
605690,90
692920,23
750840,37
462580,65
723560,61
787160,28
936980,85
435460,12
588420,38
885200,26
313370,24
722500,26
148440,80
158460,83
599980,75
474030,75
716450,70
252400,33
173670,42
686160,72
674080,85
208860,79
128800,30
401040,47
479620,19
129370,75
539310,42
101040,73
678080,59
616410,23
402010,23
121810,29
239970,12
608120,42
880760,25
236670,29
210440,38
275410,82
329250,55
747860,48
971130,58
389990,54
806620,15
288070,33
352960,55
331400,29
419360,25
279590,34
313290,33
467310,31
896650,46
537460,44
508890,15
929570,18
127770,34
505430,20
708110,33
889230,75
913230,26
970620,29
255200,36
338540,82
328060,40
499280,74
140060,69
364680,31
425650,23
388860,81
607880,78
303840,41
299120,58
150420,35
707250,77
560910,18
183260,83
384490,90
273500,17
826930,73
915090,84
632380,7
376580,21
663200,25
590560,30
972920,80
151840,32
549430,74
448800,6
491170,81
834200,82
562320,39
406380,63
831560,45
389450,81
391210,37
914790,54
338870,13
513120,83
199260,31
368670,72
390830,35
256080,40
865890,32
810240,28
660340,39
384260,53
354740,30
434440,48
834110,31
238530,24
688660,96
534000,84
882500,37
139820,30
474990,66
296370,37
970920,42
111570,75
240310,76
133660,75
795700,76
435120,71
549170,42
991190,22
275890,86
661530,42
943520,32
690500,80
686200,76
596920,85
923660,77
921010,40
965520,79
571380,30
964900,24
633230,40
243200,32
302960,36
341820,34
530130,57
315970,42
268850,84
817310,62
227540,70
368990,38
297420,82
671460,30
209140,74
