Sserial,Sex,Age,Married,Children,Education,eq_inc_quintiles,RClassGp,CCBELIEV,carallow,carreduc,carnod2,cartaxhi,carenvdc,plnenvt,plnuppri,Politics,Voted,actchar,actpol,govnosa2,PartyId2,leftrigh,libauth,WtFactor
290011,2,20,4,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,2,3,5,4,3.166666667,2.476489523
290012,2,22,4,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,2.240266272
290020,2,20,4,1,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,0.869749862
290026,2,18,4,2,1,-1,5,3,3,2,4,8,2,4,3,2,-1,-1,-1,-1,5,2.6,3.666666667,2.457092293
290036,2,22,1,1,2,-1,5,2,2,3,2,3,2,2,3,5,-1,-1,-1,-1,5,3,3,1.443673556
290077,2,24,4,2,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,1.236154615
290110,2,18,1,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,1.793359147
290122,2,25,4,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,5,1,3,3.2,1.666666667,1.085762403
290152,1,20,4,2,4,4,5,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,2,2.2,3.666666667,2.944834656
290163,1,24,4,2,3,-1,4,3,2,3,3,3,2,3,3,5,-1,-1,-1,-1,5,2.4,3.333333333,3.174901523
290167,2,20,4,2,3,2,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,3,4.333333333,1.443393755
290188,1,23,4,2,2,-1,5,3,1,2,1,5,2,2,1,2,-1,-1,-1,-1,2,1.6,2.5,2.273347726
290200,2,25,4,2,2,-1,5,3,4,2,1,8,1,4,3,4,-1,-1,-1,-1,2,2.8,3,1.853883332
290208,2,21,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,4,5,3,2,2.6,4,2.108941735
290266,2,24,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,2.2,1.5,2.19033628
290279,2,22,4,2,2,4,2,3,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,3,3,3.2,2.166666667,2.110569159
290298,1,23,4,2,3,-1,5,3,3,2,2,3,3,4,3,4,-1,-1,-1,-1,5,2.8,4,2.737380249
290299,1,18,4,2,2,-1,1,2,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,8,-1,-1,3.289086424
290307,1,19,4,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,4,4,1,1.4,4,1.839443275
290324,2,25,4,2,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,4,1,5,2.8,3.333333333,0.718436614
290357,1,18,4,2,2,-1,5,3,4,2,4,2,1,4,2,3,-1,-1,-1,-1,8,2,3.666666667,2.294718725
290363,1,22,1,1,3,-1,5,1,1,3,4,5,5,2,4,3,-1,-1,-1,-1,8,2.4,3.5,2.748014214
290382,2,24,4,2,1,-1,2,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,4,2,2,1.6,1.833333333,1.106548885
290422,1,22,4,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,4,3,1,4.2,4.5,2.63615469
290457,1,23,1,1,2,-1,3,3,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,2,5,3.2,3,1.934555472
290474,1,20,4,2,2,-1,-1,3,3,3,2,2,2,4,2,1,-1,-1,-1,-1,2,2,2.5,2.567314489
290475,2,23,4,2,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,2.4,3,1.38113521
290477,2,20,1,1,2,-1,4,3,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,4,-1,-1,1.922269167
290487,1,23,4,2,3,2,4,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,4,4,2,2.6,4.166666667,2.534283486
290496,2,24,4,1,3,1,2,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,5,2.4,3.5,0.622680667
290501,1,18,4,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,2.296001505
290505,2,22,1,2,2,-1,-1,3,3,2,2,2,3,3,1,3,-1,-1,-1,-1,5,2.8,2.166666667,1.527366396
290536,1,22,4,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,6,-1,-1,3.118710221
290582,1,18,4,2,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,2.4,2.166666667,2.926343374
290584,1,18,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,2,2,3,2.833333333,1.963928796
290596,2,20,4,2,2,-1,5,3,4,1,4,3,3,8,8,4,-1,-1,-1,-1,2,2.6,3.833333333,2.279161323
290641,2,18,1,1,4,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,5,2,3.833333333,1.695590703
290651,1,25,4,2,2,5,3,1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,2,4.166666667,2.2379313
290684,1,18,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,2.751399057
290692,2,20,4,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,8,3,3,1.31287937
290723,1,20,4,2,2,5,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,2.975122748
290728,1,20,4,2,4,1,8,1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,5,2.8,2.166666667,1.052189983
290732,2,21,4,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,1.458405639
290736,1,25,4,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,5,-1,-1,1.804213487
290738,2,21,4,2,2,-1,5,3,3,2,3,5,3,4,4,1,-1,-1,-1,-1,5,4,4,2.539970493
290763,2,23,4,2,3,3,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,4,4,4,4,2.2,3.166666667,1.37706758
290780,1,25,4,2,3,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,2,4,5,2,2,3,3.333333333,3.585929653
290799,2,23,4,2,2,2,4,3,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,2,2,2.2,4,2.859983616
290803,2,22,4,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,3,6,3,3,2.441338815
290813,1,24,4,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,2.2,3.333333333,2.227967587
