Sserial	Rsex	RAgeCat	Married	ChildHh	HEdQual3	eq_inc_quintiles	RClassGp	CCBELIEV	carallow	carreduc	carnod2	cartaxhi	carenvdc	plnenvt	plnuppri	Politics	Voted	actchar	actpol	govnosa2	PartyId2	leftrigh	libauth	WtFactor
290001	1	3	1	1	3	3	4	2	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	2	2	1	4.5	0.938058705
290002	2	7	2	2	2	-1	5	3	-1	-1	-1	-1	-1	-1	-1	1	1	8	8	4	2	1.8	4.333333333	0.684421357
290003	2	4	1	1	1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	-1	-1	0.906082138
290004	2	4	1	1	1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4	4	2	2	1.5	2.5	1.308551284
290005	1	7	4	2	2	4	1	8	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	3	2	3.166666667	0.439282252
290006	2	2	4	1	2	1	1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	8	8	3	8	3	3	0.569572008
290007	1	7	2	2	4	-1	5	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	3	2.2	4.5	0.583420351
290008	2	5	2	2	3	1	5	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	6	2	2.5	0.579136448
290009	2	7	3	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	1	-1	-1	-1	1	-1	-1	0.590081939
290010	1	5	4	2	4	-1	5	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	1.2	4.666666667	0.486862067
290011	2	1	4	2	2	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	3	1	2	2	3	5	4	3.166666667	2.476489523
290012	2	1	4	2	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	2	-1	-1	2.240266272
290013	2	7	3	2	3	5	2	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	2	2.333333333	0.50565915
290014	1	6	1	1	2	-1	1	3	5	1	1	5	2	4	2	1	-1	-1	-1	-1	4	2	3	1.370117912
290015	2	7	1	1	3	4	5	-1	-1	-1	-1	-1	-1	-1	-1	3	1	4	5	4	2	2	4.666666667	1.939605499
290016	2	2	1	1	3	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	8	5	3.2	4	1.134007401
290017	1	4	1	2	2	3	4	2	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	2	-1	-1	1.340248437
290018	2	7	3	2	3	4	-1	3	-1	-1	-1	-1	-1	-1	-1	3	1	2	5	2	1	3.6	4	0.528963062
290019	2	3	4	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	1	4	1.2	5	0.565041345
290020	2	1	4	1	3	-1	5	2	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	2	-1	-1	0.869749862
290021	1	6	1	2	1	-1	1	3	2	2	4	4	2	4	4	1	-1	-1	-1	-1	2	2.4	3	0.690509107
290022	2	7	3	2	4	5	5	3	-1	-1	-1	-1	-1	-1	-1	3	2	5	5	4	8	2.8	3.333333333	0.655750398
290023	1	7	1	2	4	-1	3	1	2	8	2	4	8	3	8	3	-1	-1	-1	-1	1	3.2	3.333333333	1.233533729
290024	2	4	4	2	1	-1	1	3	4	3	3	2	5	4	2	2	-1	-1	-1	-1	1	1.8	3.5	0.547844565
290025	1	5	1	1	3	2	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	-1	-1	1.193446586
290026	2	1	4	2	1	-1	5	3	3	2	4	8	2	4	3	2	-1	-1	-1	-1	5	2.6	3.666666667	2.457092293
290027	2	3	1	2	3	-1	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	2	5	3	2	3	2.833333333	1.692542611
290028	1	3	4	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	1	2	4	5	1	2	2	3.5	0.959535403
290029	1	7	1	2	4	-1	1	3	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	1	-1	-1	0.782701737
290030	2	2	1	2	1	-1	2	3	3	2	3	3	2	4	3	5	-1	-1	-1	-1	2	3	3.333333333	1.02300438
290031	2	4	2	1	2	2	1	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	2.8	4.5	0.442048377
290032	2	5	1	1	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	4	4	3	4	2	3.333333333	1.90604693
290033	2	2	1	1	3	1	4	-1	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	2	5	2.6	3.5	0.931201737
290034	1	4	1	1	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	5	4	4	3	2	2.333333333	1.518712545
290035	1	2	4	2	1	2	2	3	-1	-1	-1	-1	-1	-1	-1	4	2	3	5	3	2	3	3	1.269649888
290036	2	1	1	1	2	-1	5	2	2	3	2	3	2	2	3	5	-1	-1	-1	-1	5	3	3	1.443673556
290037	2	5	1	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	2	2	5	2	2	2.4	2.5	1.111064459
