age,educ,sex,race,born,income,raclive,afraid
65,12,female,white,yes,,no,0
60,16,male,white,yes,26,no,0
,,,white,,,yes,1
,,,white,,,yes,1
,14,female,black,no,,yes,0
33,17,female,black,yes,,yes,0
20,12,male,white,no,22,yes,1
,19,female,white,yes,22,yes,1
76,13,male,white,yes,20,yes,0
61,16,female,other,no,8,yes,1
37,11,male,white,yes,21,yes,0
23,15,male,white,no,18,yes,0
71,16,female,other,yes,26,yes,0
21,14,male,white,yes,,yes,0
75,18,male,white,yes,26,no,0
20,14,female,white,yes,23,yes,0
65,12,female,white,no,13,yes,1
56,14,female,white,yes,,yes,0
22,15,female,white,yes,15,yes,1
33,17,female,white,no,21,yes,1
,16,male,white,yes,,yes,1
31,16,male,other,yes,25,yes,1
55,16,female,white,yes,26,yes,1
33,18,female,black,yes,8,yes,1
37,14,male,white,yes,25,yes,1
53,12,male,white,yes,20,yes,1
43,20,female,white,no,21,yes,1
44,16,female,other,no,26,yes,1
32,12,male,black,yes,,no,0
65,12,male,white,yes,19,yes,0
30,16,female,other,yes,20,yes,0
52,18,female,white,yes,26,yes,0
34,20,male,white,no,20,yes,0
53,16,male,white,yes,25,,0
,12,female,white,yes,22,yes,0
62,13,female,white,yes,21,yes,0
62,8,female,white,yes,14,yes,1
42,13,male,white,yes,22,yes,0
,,,white,,,yes,1
29,17,male,white,yes,22,yes,0
53,16,female,white,yes,26,yes,1
51,16,female,white,yes,24,yes,0
24,16,female,other,yes,9,yes,1
51,20,male,white,yes,26,yes,1
26,12,female,other,yes,,yes,1
37,17,male,black,yes,,yes,0
28,14,female,black,yes,11,yes,1
30,14,male,white,yes,18,yes,
57,18,male,other,no,23,yes,1
45,16,male,white,yes,26,yes,0
43,16,female,other,no,14,yes,1
31,13,female,white,yes,19,yes,1
23,16,female,white,yes,26,yes,1
64,14,female,white,yes,19,no,1
82,16,female,white,yes,18,no,1
,14,male,white,yes,22,,1
58,3,male,white,no,14,no,0
89,13,male,white,yes,15,,0
51,14,male,white,yes,24,yes,1
78,16,male,white,yes,22,,0
,20,female,white,yes,,no,1
,14,male,other,yes,22,yes,0
,17,male,white,yes,18,yes,1
42,17,female,white,yes,16,yes,0
64,14,male,white,yes,16,yes,1
51,15,female,white,yes,18,yes,1
,16,female,white,yes,16,yes,1
51,6,female,other,yes,,yes,1
50,14,male,other,yes,25,yes,1
55,12,female,other,no,22,no,1
57,14,male,other,no,20,no,1
62,16,male,white,yes,24,yes,0
62,12,female,white,yes,20,yes,0
33,12,male,white,yes,20,yes,0
72,12,female,white,yes,20,yes,0
64,18,female,black,yes,20,yes,0
42,16,male,white,yes,15,yes,0
73,16,female,white,yes,22,yes,1
49,16,male,white,yes,,,0
63,10,female,black,yes,13,yes,1
32,18,female,black,yes,19,no,1
22,12,male,black,yes,,yes,1
65,16,male,white,yes,9,yes,0
71,16,female,white,yes,26,yes,0
43,15,male,white,yes,26,no,0
55,16,female,white,yes,26,yes,1
33,12,female,white,yes,9,yes,0
28,13,male,black,yes,25,yes,1
62,14,female,black,yes,,yes,0
55,15,female,black,yes,18,yes,1
41,16,male,white,no,26,no,0
66,14,male,white,yes,13,no,0
74,18,male,white,yes,22,yes,0
,18,female,white,yes,24,,0
51,17,male,white,yes,26,yes,0
66,18,female,white,yes,19,yes,0
70,13,male,white,yes,25,no,0
,18,female,,yes,24,yes,0
57,14,female,white,yes,15,yes,0
60,8,male,other,no,10,no,0
41,16,male,white,yes,22,yes,0
56,12,male,white,yes,,yes,0
46,14,female,white,yes,25,yes,1
41,20,female,white,yes,26,no,0
22,15,female,white,yes,23,yes,0
61,20,male,other,no,26,yes,0
79,20,male,white,no,26,yes,0
38,18,male,white,yes,23,yes,1
64,16,female,black,yes,19,yes,1
68,20,male,black,no,25,yes,0
28,16,male,white,yes,17,yes,0
33,18,male,black,yes,20,yes,1
38,18,female,white,yes,26,yes,1
32,18,female,white,no,22,yes,1
41,16,female,black,no,,yes,0
54,13,female,white,yes,21,yes,1
