ID_code,IQ
821660,103
705090,107
815720,106
840030,100
137930,100
414750,88
800770,113
310010,104
520880,97
932280,114
850790,91
930270,101
904120,108
218600,93
332900,95
328530,101
569560,143
579590,138
222840,100
762610,95
189820,103
929870,106
803420,104
667640,97
443070,106
342730,94
633640,127
902040,116
681320,98
587330,122
720830,93
134110,87
212380,100
746380,99
463400,113
159240,116
169280,108
245540,122
734220,91
297480,100
640210,97
966700,102
139180,115
915450,108
339300,108
532780,107
651650,94
573720,96
786510,99
442700,96
298480,100
910180,98
217740,122
288090,121
255240,92
369820,101
978050,103
232530,117
441090,106
161990,95
886080,92
554800,106
637970,110
317740,100
633470,98
560840,119
321050,105
659520,123
225320,114
145760,106
527410,97
843790,87
828770,90
716300,100
441120,98
278100,115
845160,101
977610,92
425280,95
864500,93
763250,97
509320,107
912830,101
160100,100
347690,100
538390,107
362710,89
192820,117
609200,108
711620,91
332750,93
510530,107
897720,91
200660,119
524610,112
246200,93
909810,86
156160,111
681890,96
462140,114
691850,98
606920,94
220810,95
921810,101
569180,108
628890,98
949380,93
176300,94
737980,97
561890,101
674470,99
976280,90
933580,103
239710,95
895510,95
491980,109
113800,101
760810,98
546580,110
485840,105
316130,106
893770,90
322270,116
397710,98
440730,115
437260,89
525840,91
634870,98
660000,99
617010,115
940380,110
588060,127
875850,108
811820,97
799060,92
408400,97
553410,115
290600,97
110460,109
484060,89
377960,109
943870,90
961690,120
432320,110
671750,96
270340,103
867300,87
424120,102
896800,100
116010,101
173380,89
560000,114
871470,106
349720,97
588030,93
321610,95
924080,102
229620,102
982280,117
410650,95
906230,97
134310,92
761510,98
897570,97
388730,95
776300,93
111500,103
856730,96
180730,116
808550,94
506350,109
602450,98
845760,97
248600,100
763710,124
246180,99
982590,101
244480,90
264410,92
198220,94
976550,121
986670,111
960110,110
612220,106
502510,113
554780,98
695440,105
233660,112
274800,102
649490,91
858000,125
469540,108
669560,96
492920,97
764510,100
790410,108
233730,97
113750,110
919440,113
269320,93
444290,96
142570,106
338840,119
792410,99
298820,121
943650,110
682230,101
400290,105
105910,101
446340,111
691460,111
946100,90
857550,105
797370,121
499960,91
842680,92
102360,105
455430,104
275100,142
183820,111
712870,128
708410,109
701110,91
216760,98
534500,101
881680,92
125070,102
562210,103
816380,96
771960,93
285150,109
411650,103
715310,92
261110,106
602160,105
652500,110
805880,101
178610,114
436960,122
578280,98
607770,100
292480,110
923890,113
196900,100
591770,96
606830,92
269560,97
749050,102
469390,109
270320,100
295780,97
101800,125
378060,94
692970,89
385470,93
914290,96
596610,102
382980,121
701280,104
288460,98
913530,92
929600,104
793700,106
332020,109
638800,108
987610,99
603090,92
214920,95
488830,108
883570,119
844480,127
332480,106
584570,102
124190,95
904070,110
863950,103
263570,103
343110,110
288760,101
264820,87
238940,93
421390,110
510840,113
948470,99
251910,126
707960,100
393560,114
219060,93
739510,103
874840,97
251690,89
299300,93
755140,102
953280,93
205370,89
742970,104
513840,91
115630,104
748540,101
214520,102
661900,96
482480,99
796220,97
224910,92
509250,113
774540,97
904560,97
837060,112
988820,111
414550,99
674800,122
767970,118
666970,96
681420,93
328040,91
334410,100
600560,122
201090,102
443090,104
334480,107
397380,103
689430,88
296030,96
323170,98
215640,110
881850,94
752530,92
958640,106
880070,128
725360,114
561060,98
722770,90
729770,95
294850,97
127400,96
633160,123
498260,103
987120,99
795380,100
518330,91
279690,110
299800,92
557130,103
569760,91
601940,107
585640,106
433360,105
763460,106
568810,98
690960,96
181990,118
429630,97
893780,124
534840,99
526640,112
236810,97
705400,109
825000,106
637530,98
473040,106
683360,125
743140,91
790440,102
899030,128
233800,97
824420,105
330080,97
377240,106
954740,90
478650,92
457500,103
973650,112
773100,116
174990,99
644380,95
577410,91
637110,92
532770,111
855430,122
731950,99
505340,102
531880,105
925820,115
155270,99
764870,98
211120,97
563590,99
205860,91
864740,102
318490,118
660360,90
950950,137
262360,107
822390,99
288100,103
445470,89
854690,105
273930,105
389620,95
863530,92
313190,104
123770,93
749120,96
778040,107
132220,99
978410,99
992150,101
610740,94
